Tanggal,MataUang,Jumlah,Harga,Total,JenisTransaksi
2025-02-10,MYR,100,3400,340000,beli
2025-02-10,MYR,100,3400,340000,beli
2025-02-10,MYR,400,3400,1360000,beli
2025-02-10,MYR,300,3400,1020000,beli
2025-02-10,MYR,350,3400,1190000,beli
2025-02-10,MYR,200,3450,690000,beli
2025-02-10,MYR,20,3100,62000,beli
2025-02-10,USD,100,16000,1600000,beli
2025-02-10,MYR,500,3450,1725000,beli
2025-02-10,MYR,60,3100,186000,beli
2025-02-11,SGD,200,11500,2300000,beli
2025-02-11,THB,20000,489,9780000,beli
2025-02-11,MYR,200,3450,690000,beli
2025-02-11,MYR,150,3400,510000,beli
2025-02-11,MYR,300,3400,1020000,beli
2025-02-11,MYR,50,3450,172500,beli
2025-02-11,SAR,500,4000,2000000,beli
2025-02-12,SAR,250,4100,1025000,beli
2025-02-12,SGD,150,11500,1725000,beli
2025-02-12,MYR,200,3450,690000,beli
2025-02-12,MYR,10,3100,31000,beli
2025-02-12,MYR,1000,3450,3450000,beli
2025-02-12,MYR,50,3450,172500,beli
2025-02-12,MYR,100,3450,345000,beli
2025-02-13,MYR,100,3400,340000,beli
2025-02-13,MYR,100,3450,345000,beli
2025-02-13,MYR,20,3100,62000,beli
2025-02-13,MYR,3,2500,7500,beli
2025-02-13,MYR,200,3400,680000,beli
2025-02-13,MYR,500,3400,1700000,beli
2025-02-13,USD,120,15800,1896000,beli
2025-02-14,MYR,150,3400,510000,beli
2025-02-14,MYR,700,3675,2572500,jual
2025-02-14,MYR,500,3400,1700000,beli
2025-02-14,SGD,200,11550,2310000,beli
2025-02-14,USD,100,15800,1580000,beli
2025-02-15,MYR,700,3400,2380000,beli
2025-02-15,MYR,500,3400,1700000,beli
2025-02-15,MYR,500,3400,1700000,beli
2025-02-15,MYR,1500,3400,5100000,beli
2025-02-15,SAR,350,4100,1435000,beli
2025-02-17,MYR,600,3550,2130000,beli
2025-02-17,USD,60,16300,978000,jual
2025-02-17,MYR,100,3400,340000,beli
2025-02-17,MYR,100,3400,340000,beli
2025-02-17,MYR,100,3400,340000,beli
2025-02-17,MYR,500,3680,1840000,jual
2025-02-17,MYR,200,3400,680000,beli
2025-02-17,MYR,800,3400,2720000,beli
2025-02-17,MYR,400,3450,1380000,beli
2025-02-17,MYR,100,3450,345000,beli
2025-02-17,MYR,20,3100,62000,beli
2025-02-17,MYR,200,3450,690000,beli
2025-02-17,MYR,50,3450,172500,beli
2025-02-17,MYR,20,3100,62000,beli
2025-02-17,MYR,1,2500,2500,beli
2025-02-17,MYR,300,3550,1065000,beli
2025-02-18,MYR,300,3400,1020000,beli
2025-02-18,MYR,50,3450,172500,beli
2025-02-18,MYR,20,3100,62000,beli
2025-02-19,MYR,1000,3400,3400000,beli
2025-02-19,MYR,3000,3400,10200000,beli
2025-02-19,MYR,1000,3400,3400000,beli
2025-02-19,MYR,1000,3400,3400000,beli
2025-02-19,MYR,1500,3400,5100000,beli
2025-02-19,SGD,1500,12160,18240000,jual
2025-02-20,MYR,100,3400,340000,beli
2025-02-20,MYR,300,3400,1020000,beli
2025-02-21,MYR,200,3400,680000,beli
2025-02-21,MYR,15000,3400,51000000,jual
2025-02-21,MYR,600,3400,2040000,beli
2025-02-21,SAR,805,4000,3220000,beli
2025-02-22,MYR,400,3400,1360000,beli
2025-02-22,MYR,200,3400,680000,beli
2025-02-22,MYR,200,3400,680000,beli
2025-02-22,MYR,3000,3700,11100000,jual
2025-02-24,MYR,350,3450,1207500,beli
2025-02-24,MYR,30,3100,93000,beli
2025-02-24,MYR,500,3400,1700000,beli
2025-02-24,MYR,50,3450,172500,beli
2025-02-24,MYR,50,3100,155000,beli
2025-02-24,MYR,500,3400,1700000,beli
2025-02-25,MYR,200,3400,680000,beli
2025-02-25,MYR,600,3400,2040000,beli
2025-02-25,SAR,500,4500,2250000,jual
2025-02-25,MYR,200,3400,680000,beli
2025-02-25,BND,200,11700,2340000,beli
2025-02-25,MYR,410,3450,1414500,beli
2025-02-26,MYR,500,3400,1700000,beli
2025-02-26,MYR,350,3400,1190000,beli
2025-02-26,MYR,200,3400,680000,beli
2025-02-26,MYR,300,3400,1020000,beli
2025-02-26,MYR,300,3400,1020000,beli
2025-02-27,MYR,300,3400,1020000,beli
2025-02-27,MYR,10000,3680,36800000,jual
2025-02-27,MYR,250,3400,850000,beli
2025-02-27,USD,200,16400,3280000,jual
2025-02-27,BND,200,12215,2443000,jual
2025-02-27,SAR,45,4200,189000,beli
2025-02-28,MYR,100,3100,310000,beli
2025-02-28,MYR,8,2500,20000,beli
2025-02-28,MYR,150,3450,517500,beli
2025-02-28,SGD,300,11700,3510000,beli
2025-02-28,MYR,10000,3695,36950000,beli
2025-01-02,SAR,500,4500,2250000,jual
2025-01-02,SAR,210,4700,987000,jual
2025-01-02,SAR,255,4700,1198500,jual
2025-01-02,SAR,210,4700,987000,jual
2025-01-02,SAR,210,4700,987000,jual
2025-01-02,USD,100,15700,1570000,beli
2025-01-02,EUR,50,16200,810000,beli
2025-01-02,MYR,300,3400,1020000,beli
2025-01-03,MYR,500,3390,1695000,beli
2025-01-04,SAR,200,4500,900000,jual
2025-01-04,SAR,20,4700,94000,jual
2025-01-04,SGD,300,11500,3450000,beli
2025-01-07,SGD,500,11880,5940000,jual
2025-01-08,SGD,110,11500,1265000,beli
2025-01-08,MYR,100,3400,340000,beli
2025-01-09,SAR,400,4500,1800000,jual
2025-01-09,SAR,681,4700,3200700,jual
2025-01-09,SAR,400,4500,1800000,jual
2025-01-09,SAR,681,4700,3200700,jual
2025-01-10,MYR,400,3390,1356000,beli
2025-01-10,MYR,200,3390,678000,beli
2025-01-10,MYR,500,3400,1700000,beli
2025-01-10,MYR,200,3400,680000,beli
2025-01-11,MYR,200,3400,680000,beli
2025-01-11,MYR,20,3100,62000,beli
2025-01-11,MYR,100,3400,340000,beli
2025-01-11,MYR,300,3400,1020000,beli
2025-01-13,EUR,50,16610,830500,jual
2025-01-13,USD,100,16260,1626000,jual
2025-01-13,SAR,2000,4395,8790000,beli
2025-01-13,SAR,2000,4415,8830000,beli
2025-01-13,SAR,1500,4540,6810000,beli
2025-01-14,MYR,150,3400,510000,beli
2025-01-15,MYR,550,3400,1870000,beli
2025-01-15,MYR,130,3100,403000,beli
2025-01-15,MYR,8,2500,20000,beli
2025-01-15,SAR,40,4050,162000,beli
2025-01-15,MYR,200,3390,678000,beli
2025-01-15,MYR,150,3400,510000,beli
2025-01-16,MYR,150,3390,508500,beli
2025-01-16,MYR,1350,3650,4927500,jual
2025-01-17,SAR,420,4750,1995000,jual
2025-01-17,MYR,500,3400,1700000,beli
2025-01-18,MYR,100,3400,340000,beli
2025-01-18,MYR,35,3100,108500,beli
2025-01-18,MYR,350,3390,1186500,beli
2025-01-18,SAR,100,4750,475000,jual
2025-01-18,SAR,100,4750,475000,jual
2025-01-18,SAR,100,4750,475000,jual
2025-01-18,SAR,100,4750,475000,jual
2025-01-18,SAR,600,4550,2730000,jual
2025-01-18,SAR,480,4750,2280000,jual
2025-01-18,MYR,50,3400,170000,beli
2025-01-18,MYR,35,3100,108500,beli
2025-01-20,SGD,800,11960,9568000,jual
2025-01-20,MYR,400,3675,1470000,jual
2025-01-20,MYR,250,3390,847500,beli
2025-01-20,MYR,500,3390,1695000,beli
2025-01-21,MYR,500,3400,1700000,beli
2025-01-21,MYR,100,3400,340000,beli
2025-01-21,MYR,100,3400,340000,beli
2025-01-21,MYR,20,3100,62000,beli
2025-01-21,MYR,200,3390,678000,beli
2025-01-21,MYR,400,3400,1360000,beli
2025-01-21,MYR,350,3400,1190000,beli
2025-01-21,MYR,50,3450,172500,beli
2025-01-21,MYR,15,3100,46500,beli
2025-01-21,MYR,2,2500,5000,beli
2025-01-21,SGD,50,11500,575000,beli
2025-01-22,MYR,350,3400,1190000,beli
2025-01-22,MYR,35,3100,108500,beli
2025-01-22,MYR,100,3450,345000,beli
2025-01-22,MYR,350,3400,1190000,beli
2025-01-22,SAR,400,4000,1600000,beli
2025-01-22,SAR,300,4000,1200000,beli
2025-01-22,SGD,150,11500,1725000,beli
2025-01-22,MYR,400,3400,1360000,beli
2025-01-22,MYR,200,3400,680000,beli
2025-01-23,MYR,200,3400,680000,beli
2025-01-23,MYR,200,3400,680000,beli
2025-01-23,MYR,200,3400,680000,beli
2025-01-23,MYR,100,3400,340000,beli
2025-01-23,MYR,200,3400,680000,beli
2025-01-23,MYR,400,3400,1360000,beli
2025-01-24,SGD,400,12025,4810000,jual
2025-01-24,MYR,1100,3680,4048000,jual
2025-01-24,MYR,400,3450,1380000,beli
2025-01-24,MYR,300,3400,1020000,beli
2025-01-24,MYR,150,3450,517500,beli
2025-01-24,MYR,10,3100,31000,beli
2025-01-24,MYR,100,3450,345000,beli
2025-01-24,MYR,30,3100,93000,beli
2025-01-25,MYR,1000,3640,3640000,jual
2025-01-25,MYR,200,3400,680000,beli
2025-01-28,MYR,100,3400,340000,beli
2025-01-28,MYR,600,3400,2040000,beli
2025-01-28,MYR,200,3400,680000,beli
2025-01-28,MYR,150,3400,510000,beli
2025-01-28,MYR,550,3400,1870000,beli
2025-01-28,SGD,100,12000,1200000,jual
2025-01-28,USD,100,16300,1630000,jual
2025-01-30,SGD,150,11500,1725000,beli
2025-01-30,SGD,300,11500,3450000,beli
2025-01-30,MYR,50,3450,172500,beli
2025-01-30,MYR,50,3100,155000,beli
2025-01-30,MYR,7,2500,17500,beli
2025-01-30,MYR,600,3450,2070000,beli
2025-01-30,MYR,10,3100,31000,beli
2025-01-31,USD,100,15700,1570000,beli
2025-01-31,SGD,300,11500,3450000,beli
2025-01-31,MYR,500,3400,1700000,beli
2025-01-31,MYR,100,3400,340000,beli
2025-01-31,MYR,500,3400,1700000,beli
2025-01-31,MYR,300,3400,1020000,beli
2025-01-31,MYR,200,3400,680000,beli
2025-01-31,MYR,300,3400,1020000,beli
2025-01-31,MYR,200,3400,680000,beli
2025-01-31,MYR,50,3450,172500,beli
2025-01-31,MYR,25,3100,77500,beli
2025-01-31,MYR,100,3450,345000,beli
2025-01-31,MYR,50,3450,172500,beli
2024-01-02,MYR,50,3200,160000,beli
2024-01-02,MYR,8,2500,20000,beli
2024-01-02,SGD,2,9000,18000,beli
2024-01-02,SAR,890,4500,4005000,jual
2024-01-03,MYR,50,3200,160000,beli
2024-01-05,MYR,750,3200,2400000,beli
2024-01-05,MYR,960,3125,3000000,beli
2024-01-07,SAR,1000,3800,3800000,beli
2024-01-08,MYR,300,3125,937500,beli
2024-01-08,MYR,1000,3125,3125000,beli
2024-01-08,MYR,500,3125,1562500,beli
2024-01-10,MYR,600,3125,1875000,beli
2024-01-10,MYR,200,3125,625000,beli
2024-01-10,MYR,640,3125,2000000,beli
2024-01-11,MYR,500,3125,1562500,beli
2021-01-11,MYR,500,3125,1562500,beli
2024-01-12,MYR,400,3125,1250000,beli
2024-01-12,MYR,100,3125,312500,beli
2024-01-12,SAR,440,4550,2002000,jual
2024-01-12,MYR,200,3200,640000,beli
2024-01-13,MYR,320,3125,1000000,beli
2024-01-13,MYR,300,3125,937500,beli
2024-01-13,MYR,500,3200,1600000,beli
2024-01-13,MYR,20,3000,60000,beli
2024-01-13,MYR,1,2500,2500,beli
2024-01-15,MYR,300,3395,1018500,jual
2024-01-15,SGD,50,11800,590000,jual
2024-01-15,MYR,160,3125,500000,beli
2024-01-15,MYR,300,3200,960000,beli
2024-01-15,MYR,35,3000,105000,beli
2024-01-15,MYR,150,3200,480000,beli
2024-01-15,MYR,300,3200,960000,beli
2024-01-15,MYR,40,3000,120000,beli
2024-01-15,MYR,150,3200,480000,beli
2024-01-15,MYR,30,3000,90000,beli
2024-01-15,MYR,5,2500,12500,beli
2024-01-15,MYR,3000,3380,10140000,jual
2024-01-16,MYR,150,3200,480000,beli
2024-01-16,MYR,55,3200,176000,beli
2024-01-16,SAR,5,3500,17500,beli
2024-01-16,MYR,5,3000,15000,beli
2024-01-16,MYR,4,2500,10000,beli
2024-01-16,MYR,100,3200,320000,beli
2024-01-16,MYR,10,3000,30000,beli
2024-01-16,MYR,50,3200,160000,beli
2024-01-16,MYR,300,3200,960000,beli
2024-01-17,MYR,150,3200,480000,beli
2024-01-22,MYR,100,3125,312500,beli
2024-01-22,MYR,550,3200,1760000,beli
2024-01-22,MYR,50,3000,150000,beli
2024-01-22,MYR,100,3200,320000,beli
2024-01-22,MYR,100,3200,320000,beli
2024-01-22,AUD,515,10000,5150000,beli
2024-01-22,AUD,100,10000,1000000,jual
2024-01-22,MYR,6000,3340,20040000,jual
2024-01-23,MYR,16,2500,40000,beli
2024-01-23,MYR,5,2500,12500,beli
2024-01-23,MYR,20,3000,60000,beli
2024-01-24,MYR,350,3200,1120000,beli
2024-01-24,CNY,300,2000,600000,beli
2024-01-24,MYR,1500,3174,4761000,beli
2024-01-24,USD,100,15200,1520000,beli
2024-01-25,MYR,90,3000,270000,beli
2024-01-25,MYR,10,3000,30000,beli
2024-01-25,MYR,7,2500,17500,beli
2024-01-25,MYR,300,3200,960000,beli
2024-01-25,MYR,30,3000,90000,beli
2024-01-26,SGD,30,11000,330000,beli
2024-01-26,MYR,320,3125,1000000,beli
2024-01-26,USD,200,15100,3020000,beli
2024-01-26,MYR,100,3125,312500,beli
2024-01-26,SGD,200,11200,2240000,beli
2024-01-26,SGD,200,11200,2240000,beli
2024-01-26,MYR,320,3125,1000000,beli
2024-01-26,SAR,550,4550,2502500,jual
2024-01-26,MYR,100,3200,320000,beli
2024-01-27,MYR,500,3125,1562500,beli
2024-01-27,MYR,1000,3125,3125000,beli
2024-01-27,MYR,100,3125,312500,beli
2024-01-27,MYR,100,3125,312500,beli
2024-01-27,MYR,100,3125,312500,beli
2024-01-27,MYR,50,3200,160000,beli
2024-01-27,MYR,70,3000,210000,beli
2024-01-27,MYR,200,3200,640000,beli
2024-01-29,MYR,500,3200,1600000,beli
2024-01-29,MYR,1000,3200,3200000,beli
2024-02-03,MYR,10000,3390,33900000,jual
2024-02-03,MYR,100,3125,312500,beli
2024-02-03,MYR,50,3200,160000,beli
2024-02-03,MYR,5,3000,15000,beli
2024-02-03,MYR,200,3125,625000,beli
2024-02-03,MYR,500,3125,1562500,beli
2024-02-03,SAR,435,4600,2001000,jual
2024-02-03,MYR,300,3125,937500,beli
2024-02-03,MYR,300,3125,937500,beli
2024-02-03,MYR,640,3125,2000000,beli
2024-02-03,MYR,500,3125,1562500,beli
2024-02-03,MYR,500,3125,1562500,beli
2024-02-03,MYR,100,3125,312500,beli
2024-02-03,MYR,500,3125,1562500,beli
2024-02-03,SGD,50,11300,565000,beli
2024-02-03,USD,100,15100,1510000,beli
2024-02-03,MYR,400,3200,1280000,beli
2024-02-03,MYR,10,3000,30000,beli
2024-02-03,MYR,200,3200,640000,beli
2024-02-03,MYR,400,3125,1250000,beli
2024-02-03,MYR,300,3125,937500,beli
2024-02-03,MYR,150,3125,468750,beli
2024-02-03,MYR,100,3000,300000,beli
2024-02-03,MYR,9,2500,22500,beli
2024-02-05,MYR,350,3125,1093750,beli
2024-02-05,MYR,50,3200,160000,beli
2024-02-05,MYR,10,3000,30000,beli
2024-02-05,MYR,5,2500,12500,beli
2024-02-05,MYR,50,3200,160000,beli
2024-02-07,MYR,1500,3380,5070000,jual
2024-02-07,MYR,2000,3380,6760000,jual
2024-02-08,SAR,300,4000,1200000,beli
2024-02-08,SAR,400,4600,1840000,jual
2024-02-09,MYR,300,3200,960000,beli
2024-02-09,MYR,30,3000,90000,beli
2024-02-09,MYR,4,2500,10000,beli
2024-02-10,SAR,650,4600,2990000,jual
2024-02-12,SGD,100,11300,1130000,beli
2024-02-12,SGD,100,11300,1130000,beli
2024-02-12,MYR,600,3350,2010000,jual
2024-02-12,MYR,320,3125,1000000,beli
2024-02-12,MYR,600,3360,2016000,jual
2024-02-12,USD,200,15200,3040000,beli
2024-02-12,SGD,200,11300,2260000,beli
2024-02-12,USD,100,15300,1530000,beli
2024-02-12,SGD,300,11300,3390000,beli
2024-02-12,SGD,500,11300,5650000,beli
2024-02-13,SGD,50,11200,560000,beli
2024-02-13,MYR,600,3200,1920000,beli
2024-02-13,MYR,450,3125,1406250,beli
2024-02-15,MYR,700,3125,2187500,beli
2024-02-15,MYR,400,3125,1250000,beli
2024-02-15,MYR,100,3125,312500,beli
2024-02-15,MYR,700,3125,2187500,beli
2024-02-15,MYR,100,3125,312500,beli
2024-02-16,MYR,100,3200,320000,beli
2024-02-16,MYR,25,3000,75000,beli
2024-02-16,MYR,100,3200,320000,beli
2024-02-16,MYR,200,3200,640000,beli
2024-02-16,MYR,75,3000,225000,beli
2024-02-17,MYR,500,3125,1562500,beli
2024-02-17,MYR,450,3125,1406250,beli
2024-02-17,MYR,500,3125,1562500,beli
2024-02-17,MYR,500,3125,1562500,beli
2024-02-17,MYR,300,3125,937500,beli
2024-02-17,MYR,100,3125,312500,beli
2024-02-17,MYR,100,3125,312500,beli
2024-02-17,MYR,250,3125,781250,beli
2024-02-17,MYR,300,3200,960000,beli
2024-02-17,MYR,15,3000,45000,beli
2024-02-17,MYR,500,3125,1562500,beli
2024-02-17,MYR,320,3125,1000000,beli
2024-02-17,MYR,100,3200,320000,beli
2024-02-19,MYR,200,3125,625000,beli
2024-02-19,MYR,330,3125,1031250,beli
2024-02-19,MYR,100,3125,312500,beli
2024-02-19,MYR,320,3125,1000000,beli
2024-02-19,MYR,64,3125,200000,beli
2024-02-19,MYR,320,3125,1000000,beli
2024-02-19,MYR,150,3145,471750,beli
2024-02-19,BND,500,11200,5600000,beli
2024-02-19,MYR,200,3125,625000,beli
2024-02-19,MYR,50,3200,160000,beli
2024-02-19,MYR,35,3000,105000,beli
2024-02-19,MYR,299,3340,998660,jual
2024-02-19,SAR,1000,4600,4600000,jual
2024-02-19,SAR,3500,4400,15400000,jual
2024-02-19,MYR,100,3200,320000,beli
2024-02-19,MYR,50,3000,150000,beli
2024-02-19,MYR,6,2500,15000,beli
2024-02-19,MYR,100,3200,320000,beli
2024-02-19,SAR,325,4600,1495000,jual
2024-02-19,MYR,10,2500,25000,beli
2024-02-20,SAR,110,4600,506000,jual
2024-02-20,MYR,320,3125,1000000,beli
2024-02-20,MYR,500,3125,1562500,beli
2024-02-20,MYR,320,3125,1000000,beli
2024-02-20,MYR,200,3125,625000,beli
2024-02-20,MYR,300,3125,937500,beli
2024-02-20,MYR,100,3200,320000,beli
2024-02-20,MYR,30,3000,90000,beli
2024-02-20,MYR,12,2500,30000,beli
2024-02-20,MYR,500,3125,1562500,beli
2024-02-20,MYR,50,3200,160000,beli
2024-02-21,MYR,320,3125,1000000,beli
2024-02-21,MYR,300,3125,937500,beli
2024-02-21,MYR,300,3125,937500,beli
2024-02-21,MYR,320,3125,1000000,beli
2024-02-21,MYR,320,3125,1000000,beli
2024-02-21,MYR,50,3200,160000,beli
2024-02-21,MYR,6,3000,18000,beli
2024-02-21,MYR,50,3200,160000,beli
2024-02-21,MYR,5,3000,15000,beli
2024-02-21,MYR,320,3125,1000000,beli
2024-02-22,MYR,200,3125,625000,beli
2024-02-22,MYR,150,3125,468750,beli
2024-02-23,MYR,200,3125,625000,beli
2024-02-23,MYR,50,3200,160000,beli
2024-02-23,SGD,50,11300,565000,beli
2024-02-23,MYR,500,3200,1600000,beli
2024-02-23,MYR,50,3000,150000,beli
2024-02-23,MYR,400,3125,1250000,beli
